From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,
These data are summaries of data available online with the article:,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,
Photo.umolCO2 is CO2 flux into a leaf; it is a  measure of photosynthetic rate,,,,,,,,,,
,,,,,,,,,,
Plot,Tag,Season,Month,Treatment,Habit,Species,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2
3,281,dry,Apr,watered,tree,Swieteniamacrophylla,-0.825,-1.942,-1.117,NA
3,221,dry,Apr,watered,tree,Terminaliaamazonia,-0.925,-1.852,-0.927,NA
3,236,dry,Apr,watered,tree,Terminaliaamazonia,-0.551,-0.565,-0.014,NA
3,204,dry,Mar,watered,liana,Callichlamyslatifolia,-0.825,-1.437,-0.612,NA
3,204,dry,Mar,watered,liana,Callichlamyslatifolia,-0.613,-1.181,-0.568,4.63
3,260,dry,Mar,watered,liana,Davillakunthii,-0.82,-1.902,-1.082,NA
3,284,dry,Mar,watered,liana,Davillakunthii,-0.787,-2.402,-1.615,NA
3,260,dry,Mar,watered,liana,Davillakunthii,-0.423,-2.139,-1.716,3.94
3,234,dry,Mar,watered,liana,Doliocarpusmajor,-1.167,-1.956,-0.789,NA
3,234,dry,Mar,watered,liana,Doliocarpusmajor,-0.537,-2.967,-2.43,2.87
3,205,dry,Mar,watered,liana,Machaeriummilleflorum,-0.256,-1.887,-1.631,NA
3,297,dry,Mar,watered,liana,Machaeriummilleflorum,-0.662,-0.691,-0.029,NA
3,205,dry,Mar,watered,liana,Machaeriummilleflorum,-0.354,-2.226,-1.872,11.2
3,231,dry,Mar,watered,liana,Maripapanamensis,-0.542,-1.859,-1.317,NA
3,286,dry,Mar,watered,liana,Maripapanamensis,-0.501,-1.785,-1.284,NA
3,231,dry,Mar,watered,liana,Maripapanamensis,-0.981,-1.742,-0.761,3.48
3,268,dry,Mar,watered,liana,Paulliniapinnata,-0.915,-4.266,-3.351,6.6
3,222,dry,Mar,watered,tree,Crescentiacujete,-1.367,-2.261,-0.894,1.44
3,266,dry,Mar,watered,tree,Dipteryxoleifera,-0.69,-1.858,-1.168,NA
3,266,dry,Mar,watered,tree,Dipteryxoleifera,-0.533,-2.468,-1.935,11.6
3,269,dry,Mar,watered,tree,Hieronymaalchorneoides,-0.903,-1.404,-0.501,NA
3,288,dry,Mar,watered,tree,Hieronymaalchorneoides,-2.246,-2.799,-0.553,NA
3,288,dry,Mar,watered,tree,Hieronymaalchorneoides,-0.881,-0.879,0.002,0.41
3,202,dry,Mar,watered,tree,Huracrepitans,-0.499,-0.716,-0.217,NA
3,202,dry,Mar,watered,tree,Huracrepitans,-0.553,-1.65,-1.097,3.94
3,281,dry,Mar,watered,tree,Swieteniamacrophylla,-1.485,-2.875,-1.39,NA
3,281,dry,Mar,watered,tree,Swieteniamacrophylla,-0.35,-2.86,-2.51,5.13
3,221,dry,Mar,watered,tree,Terminaliaamazonia,-1.265,-2.263,-0.998,NA
3,236,dry,Mar,watered,tree,Terminaliaamazonia,-0.491,-2.008,-1.517,NA
3,221,dry,Mar,watered,tree,Terminaliaamazonia,-1.083,-1.408,-0.325,2.29
3,204,transition,May,watered,liana,Callichlamyslatifolia,-0.298,-1.24,-0.942,NA
3,260,transition,May,watered,liana,Davillakunthii,-0.262,-1.073,-0.811,NA
3,284,transition,May,watered,liana,Davillakunthii,-0.291,-1,-0.709,NA
3,234,transition,May,watered,liana,Doliocarpusmajor,-0.063,-1.513,-1.45,NA
3,205,transition,May,watered,liana,Machaeriummilleflorum,-0.25,-0.42,-0.17,NA
3,297,transition,May,watered,liana,Machaeriummilleflorum,-0.232,-0.552,-0.32,NA
3,231,transition,May,watered,liana,Maripapanamensis,-0.502,-1.523,-1.021,NA
3,286,transition,May,watered,liana,Maripapanamensis,-0.698,-0.913,-0.215,NA
3,266,transition,May,watered,tree,Dipteryxoleifera,-0.644,-1.567,-0.923,NA
3,269,transition,May,watered,tree,Hieronymaalchorneoides,-0.702,-1.26,-0.558,NA
3,288,transition,May,watered,tree,Hieronymaalchorneoides,-0.252,-0.829,-0.577,NA
3,202,transition,May,watered,tree,Huracrepitans,-0.774,-1.053,-0.279,NA
3,281,transition,May,watered,tree,Swieteniamacrophylla,-0.82,-1.35,-0.53,NA
3,221,transition,May,watered,tree,Terminaliaamazonia,-0.135,-1.164,-1.029,NA
3,236,transition,May,watered,tree,Terminaliaamazonia,-0.222,-1.287,-1.065,NA
3,204,wet,Oct,watered,liana,Callichlamyslatifolia,-0.155,-1.019,-0.864,9.79
3,260,wet,Oct,watered,liana,Davillakunthii,-0.272,-0.619,-0.347,11.2
3,234,wet,Oct,watered,liana,Doliocarpusmajor,-0.196,-1.086,-0.89,7.94
3,205,wet,Oct,watered,liana,Machaeriummilleflorum,-0.298,-0.306,-0.008,10.6
3,231,wet,Oct,watered,liana,Maripapanamensis,-0.179,-1.154,-0.975,14
3,268,wet,Oct,watered,liana,Paulliniapinnata,-0.559,-1.51,-0.951,11.2
3,222,wet,Oct,watered,tree,Crescentiacujete,-0.277,-0.449,-0.172,0.0483
3,266,wet,Oct,watered,tree,Dipteryxoleifera,-0.158,-0.916,-0.758,13.3
3,288,wet,Oct,watered,tree,Hieronymaalchorneoides,-0.158,-0.916,-0.758,13.3
3,202,wet,Oct,watered,tree,Huracrepitans,-0.264,-0.59,-0.326,17.3
3,281,wet,Oct,watered,tree,Swieteniamacrophylla,-0.245,-2.384,-2.139,14
3,221,wet,Oct,watered,tree,Terminaliaamazonia,-0.163,-0.421,-0.258,14.4
3,236,wet,Oct,watered,tree,Terminaliaamazonia,-0.079,-0.625,-0.546,11.1
3,204,wet,Sep,watered,liana,Callichlamyslatifolia,-0.281,-1.617,-1.336,NA
3,260,wet,Sep,watered,liana,Davillakunthii,-0.053,-1.168,-1.115,NA
3,284,wet,Sep,watered,liana,Davillakunthii,-0.094,-1.193,-1.099,NA
3,234,wet,Sep,watered,liana,Doliocarpusmajor,-0.537,-1.585,-1.048,NA
3,205,wet,Sep,watered,liana,Machaeriummilleflorum,-0.104,-1.795,-1.691,NA
3,297,wet,Sep,watered,liana,Machaeriummilleflorum,-0.162,-0.512,-0.35,NA
3,231,wet,Sep,watered,liana,Maripapanamensis,-0.182,-1.56,-1.378,NA
3,286,wet,Sep,watered,liana,Maripapanamensis,-0.148,-1.523,-1.375,NA
3,266,wet,Sep,watered,tree,Dipteryxoleifera,-0.492,-0.728,-0.236,NA
3,269,wet,Sep,watered,tree,Hieronymaalchorneoides,-0.331,-1.17,-0.839,NA
3,288,wet,Sep,watered,tree,Hieronymaalchorneoides,-0.132,-1.197,-1.065,NA
3,202,wet,Sep,watered,tree,Huracrepitans,-0.25,-0.409,-0.159,NA
3,281,wet,Sep,watered,tree,Swieteniamacrophylla,-0.381,-2.092,-1.711,NA
3,221,wet,Sep,watered,tree,Terminaliaamazonia,-0.332,-1.76,-1.428,NA
3,236,wet,Sep,watered,tree,Terminaliaamazonia,-0.162,-1.482,-1.32,NA
4,394,dry,Apr,unwatered,liana,Callichlamyslatifolia,-0.325,-1.921,-1.596,NA
4,306,dry,Apr,unwatered,liana,Callichlamyslatifolia,-0.282,-0.972,-0.69,NA
4,330,dry,Apr,unwatered,liana,Davillakunthii,-2.203,-2.752,-0.549,NA
4,320,dry,Apr,unwatered,liana,Davillakunthii,-0.632,-1.581,-0.949,NA
4,318,dry,Apr,unwatered,liana,Doliocarpusmajor,-2.182,-3.15,-0.968,NA
4,329,dry,Apr,unwatered,liana,Doliocarpusmajor,-3.26,-3.622,-0.362,NA
4,359,dry,Apr,unwatered,liana,Machaeriummilleflorum,-0.633,-1.202,-0.569,NA
4,397,dry,Apr,unwatered,liana,Machaeriummilleflorum,-0.643,-1.759,-1.116,NA
4,383,dry,Apr,unwatered,liana,Maripapanamensis,-0.922,-1.554,-0.632,NA
4,385,dry,Apr,unwatered,liana,Maripapanamensis,-0.58,-1.222,-0.642,NA
4,363,dry,Apr,unwatered,liana,Paulliniapinnata,-0.685,-1.654,-0.969,NA
4,389,dry,Apr,unwatered,liana,Paulliniapinnata,-0.652,-2.383,-1.731,NA
4,302,dry,Apr,unwatered,tree,Crescentiacujete,-0.74,-1.178,-0.438,NA
