From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
6,watered,593,Maripapanamensis,liana,-0.168,-1.388,-1.22,NA,NA,NA,NA,35.0736,2_March_15,dry
6,watered,584,Paulliniapinnata,liana,-0.536,-2.302,-1.766,NA,NA,NA,NA,27.1984,6_March_15,dry
6,watered,586,Paulliniapinnata,liana,-0.477,-1.902,-1.425,NA,NA,NA,NA,20.0936,13_March_15,dry
6,watered,502,Crescentiacujete,tree,-0.436,-1.725,-1.289,NA,NA,NA,NA,23.9028,3_March_15,dry
6,watered,523,Crescentiacujete,tree,-0.668,-0.891,-0.223,NA,NA,NA,NA,21.8912,7_March_15,dry
6,watered,576,Dipteryxoleifera,tree,-0.572,-2.802,-2.23,NA,NA,NA,NA,30.7936,6_March_15,dry
6,watered,595,Dipteryxoleifera,tree,-0.596,-1.353,-0.757,NA,NA,NA,NA,30.708,4_March_15,dry
6,watered,561,Hieronymaalchorneoides,tree,-0.934,-1.599,-0.665,NA,NA,NA,NA,21.292,6_March_15,dry
6,watered,598,Hieronymaalchorneoides,tree,-0.282,-0.874,-0.592,NA,NA,NA,NA,41.5792,2_March_15,dry
6,watered,537,Swieteniamacrophylla,tree,-0.585,-2.034,-1.449,NA,NA,NA,NA,22.7472,7_March_15,dry
6,watered,560,Swieteniamacrophylla,tree,-0.301,-1.84,-1.539,NA,NA,NA,NA,30.3656,2_March_15,dry
6,watered,515,Terminaliaamazonia,tree,-0.544,-1.261,-0.717,NA,NA,NA,NA,20.008,9_March_15,dry
6,watered,594,Terminaliaamazonia,tree,-0.095,-1.196,-1.101,NA,NA,NA,NA,28.6108,2_March_15,dry
7,unwatered,673,Callichlamyslatifolia,liana,-0.4,-1.903,-1.503,NA,NA,NA,NA,19.9704,4_March_15,dry
7,unwatered,691,Callichlamyslatifolia,liana,-1.301,-1.841,-0.54,NA,NA,NA,NA,18.2744,7_March_15,dry
7,unwatered,628,Davillakunthii,liana,-0.245,-2.719,-2.474,NA,NA,NA,NA,17.2568,2_March_15,dry
7,unwatered,699,Davillakunthii,liana,-0.196,-1.435,-1.239,NA,NA,NA,NA,21.0728,6_March_15,dry
7,unwatered,624,Doliocarpusmajor,liana,-1.422,-3.32,-1.898,NA,NA,NA,NA,20.0552,7_March_15,dry
7,unwatered,685,Doliocarpusmajor,liana,-1.271,-2.373,-1.102,NA,NA,NA,NA,24.2528,11_March_15,dry
7,unwatered,670,Machaeriummilleflorum,liana,-0.792,-0.881,-0.089,NA,NA,NA,NA,42.9936,7_March_15,dry
7,unwatered,696,Machaeriummilleflorum,liana,-0.511,-1.781,-1.27,NA,NA,NA,NA,19.5464,9_March_15,dry
7,unwatered,650,Maripapanamensis,liana,-1.001,-2.351,-1.35,NA,NA,NA,NA,19.8856,6_March_15,dry
7,unwatered,679,Maripapanamensis,liana,-1.884,-2.107,-0.223,NA,NA,NA,NA,20.3944,11_March_15,dry
7,unwatered,603,Paulliniapinnata,liana,-0.572,-2.087,-1.515,NA,NA,NA,NA,20.0552,3_March_15,dry
7,unwatered,686,Paulliniapinnata,liana,-1.098,-2.653,-1.555,NA,NA,NA,NA,21.1576,11_March_15,dry
7,unwatered,682,Crescentiacujete,tree,-0.731,-1.547,-0.816,NA,NA,NA,NA,20.564,6_March_15,dry
7,unwatered,633,Dipteryxoleifera,tree,-0.701,-3.36,-2.659,NA,NA,NA,NA,20.3096,4_March_15,dry
7,unwatered,668,Hieronymaalchorneoides,tree,-1.842,-2.229,-0.387,NA,NA,NA,NA,21.6664,2_March_15,dry
7,unwatered,602,Swieteniamacrophylla,tree,-1.262,-2.601,-1.339,NA,NA,NA,NA,19.0376,13_March_15,dry
7,unwatered,616,Swieteniamacrophylla,tree,-0.882,-2.301,-1.419,NA,NA,NA,NA,21.4968,7_March_15,dry
7,unwatered,605,Terminaliaamazonia,tree,-0.483,-2.192,-1.709,NA,NA,NA,NA,20.2672,3_March_15,dry
7,unwatered,608,Terminaliaamazonia,tree,-0.93,-2.107,-1.177,NA,NA,NA,NA,18.7408,13_March_15,dry
8,watered,728,Callichlamyslatifolia,liana,-0.499,-2.084,-1.585,NA,NA,NA,NA,23.1928,9_March_15,dry
8,watered,739,Callichlamyslatifolia,liana,-0.201,-1.801,-1.6,NA,NA,NA,NA,23.2776,6_March_15,dry
8,watered,703,Davillakunthii,liana,-0.465,-2.707,-2.242,NA,NA,NA,NA,23.956,6_March_15,dry
8,watered,705,Davillakunthii,liana,-0.366,-1.796,-1.43,NA,NA,NA,NA,22.9384,2_March_15,dry
8,watered,707,Doliocarpusmajor,liana,-0.332,-1.943,-1.611,NA,NA,NA,NA,20.352,7_March_15,dry
8,watered,709,Doliocarpusmajor,liana,-0.671,-2.085,-1.414,NA,NA,NA,NA,21.6664,11_March_15,dry
8,watered,712,Machaeriummilleflorum,liana,-0.668,-1.197,-0.529,NA,NA,NA,NA,24.2104,7_March_15,dry
8,watered,787,Machaeriummilleflorum,liana,-0.401,-1.076,-0.675,NA,NA,NA,NA,22.4296,13_March_15,dry
8,watered,752,Maripapanamensis,liana,-0.703,-1.438,-0.735,NA,NA,NA,NA,26.1608,7_March_15,dry
8,watered,734,Paulliniapinnata,liana,-0.777,-1.391,-0.614,NA,NA,NA,NA,24.6344,7_March_15,dry
8,watered,740,Paulliniapinnata,liana,-0.163,-1.081,-0.918,NA,NA,NA,NA,30.316,3_March_15,dry
8,watered,762,Dipteryxoleifera,tree,-0.867,-2.341,-1.474,NA,NA,NA,NA,23.4896,9_March_15,dry
8,watered,791,Dipteryxoleifera,tree,-0.796,-2.338,-1.542,NA,NA,NA,NA,21.1576,7_March_15,dry
8,watered,776,Hieronymaalchorneoides,tree,-0.887,-1.617,-0.73,NA,NA,NA,NA,27.0936,9_March_15,dry
8,watered,777,Hieronymaalchorneoides,tree,-0.578,-1.651,-1.073,NA,NA,NA,NA,24.5072,9_March_15,dry
8,watered,781,Huracrepitans,tree,-0.585,-1.021,-0.436,NA,NA,NA,NA,26.5848,7_March_15,dry
8,watered,720,Swieteniamacrophylla,tree,-1.129,-2.786,-1.657,NA,NA,NA,NA,22.3448,11_March_15,dry
8,watered,800,Swieteniamacrophylla,tree,-0.873,-2.802,-1.929,NA,NA,NA,NA,19.8008,11_March_15,dry
8,watered,732,Terminaliaamazonia,tree,-0.305,-1.301,-0.996,NA,NA,NA,NA,29.7648,3_March_15,dry
8,watered,733,Terminaliaamazonia,tree,-0.842,-1.72,-0.878,NA,NA,NA,NA,22.7264,13_March_15,dry
